Artists,Name,Weekly.rank,Peak.position,Weeks.on.chart,Week,Date,Genre,Writing.Credits,Lyrics,Features
Bruno Mars,That's What I Like,7,7.0,5.0,2017-03-04,"January 30, 2016","Funk,R&;B,Pop","Ray charles mccullough ii, Ray romulus, Jeremy reeves, Jonathan yip, James fauntleroy, Brody brown, Philip lawrence, Bruno mars","That's What I Like 
Hey, hey, hey
I got a condo in Manhattan
Baby girl, what's
hatnin'?
You and your ass invited
So gon' and get to clappin'
So pop it for a player
Pop, pop it for me
Turn around and drop it for a player
Drop, drop it for me
I'll rent a beach house in Miami -ami
Wake up with no jammies Nope
Lobster tail for dinner
Julio serve that scampi Julio!
You got it if you want it
Got, got it if you want it
Said you got it if you want it
Take my wallet if you want it now
Jump in the Cadillac, girl, let's put some miles on it
Anything you want, just to put a smile on it
You deserve it baby, you deserve it all
And I'm gonna give it to you
Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
I'm talking trips to Puerto Rico
Say the word and we go Say it
You can be my freaka Brrrt!
What the fuck
I will never make a promise that I can't keep
I promise that your smile ain't gon' never leave
Shopping sprees in Paris
Everything 24 karats
Take a look in that mirror
Now tell me who's the fairest
Is it you? Is it you? Is it me? Is it me?
Say it's us Say it's us and I'll agree, baby
Jump in the Cadillac, girl, let's put some miles on it
Anything you want, just to put a smile on it
You deserve it baby, you deserve it all
And I'm gonna give it to you
Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
If you say you want a good time
Well here I am baby, here I am baby
Talk to me, talk to me, talk to me
Tell me what's on your mind What's on your mind
If you want it, girl come and get it
All this is here for you
Tell me baby, tell me, tell me baby
What you tryna do
Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
",
The Chainsmokers,Paris,6,6.0,6.0,2017-03-11,"January 13, 2017","EDM,Synth-Pop,Dance,Electronic,Pop","Fredrik haggstam, Kris eriksson, Andrew taggart","Paris 
We were staying in Paris
To get away from your parents
And I thought, “Wow
If I could take this in a shot right now
I don't think that we could work this out”
Out on the terrace
I don't know if it's fair but I thought “How
Could I let you fall by yourself
While I'm wasted with someone else?”
If we go down then we go down together
They'll say you could do anything
They'll say that I was clever
If we go down then we go down together
We'll get away with everything
Let's show them we are better
Let's show them we are better
Let's show them we are better
We were staying in Paris
To get away from your parents
You look so proud
Standing there with a frown and a cigarette
Posting pictures of yourself on the Internet
Out on the terrace
We breathe in the air of this small town
On our own, cutting class for the thrill of it
Getting drunk on the past, we were living in
If we go down then we go down together
They'll say you could do anything
They'll say that I was clever
If we go down then we go down together
We'll get away with everything
Let's show them we are better
Let's show them we are
Show them we are
Let's show them we are
Show them we are
Let's show them we are better
We were staying in Paris
Let's show them we are better
Let's show them we are
Show them we are
Let's show them we are
Show them we are
Let's show them we are better
If we go down then we go down together
They'll say you could do anything
They'll say that I was clever
If we go down then we go down together
We'll get away with everything
Let's show them we are better
We were staying in Paris If we go down
We were staying in Paris If we go down
We were staying in Paris If we go down
We were staying in Paris If we go down
Let's show them we are better
We were staying in Paris
Let's show them we are better
Let's show them we are better
If we go down
Let's show them we are better
If we go down
Let's show them we are better
If we go down
Let's show them we are better
Let's show them we are better
",
"Kygo, Selena Gomez",It Ain't Me,12,12.0,2.0,2017-03-11,"February 16, 2017","Electro-Pop,Tropical House,Electronic,Dance-Pop,Dance,Pop","Brian lee, Watt, Kygo, Ali tamposi, Selena gomez","It Ain't Me 
I had a dream
We were sipping whiskey neat
Highest floor, The Bowery
Nowhere's high enough
Somewhere along the lines
We stopped seeing eye to eye
You were staying out all night
And I had enough
No, I don't wanna know
Where you been or where you're goin'
But I know I won't be home
And you'll be on your own
Who's gonna walk you
Through the dark side of the morning?
Who's gonna rock you
When the sun won't let you sleep?
Who's waking up to drive you home
When you're drunk and all alone?
Who's gonna walk you
Through the dark side of the morning?
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
I had a dream
We were back to seventeen
Summer nights and The Libertines
Never growing up
I'll take with me
The polaroids and the memories
But you know I'm gonna leave
Behind the worst of us
Who's gonna walk you
Through the dark side of the morning?
Who's gonna rock you
When the sun won't let you sleep?
Who's waking up to drive you home
When you're drunk and all alone?
Who's gonna walk you
Through the dark side of the morning?
It ain't me, no no
It ain't me, no no
It ain't me, no no
Who's gonna walk you through the dark side of the morning?
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
",
Sam Hunt,Body Like A Back Road,20,20.0,5.0,2017-03-18,"February 1, 2017","Pop Country,Pop,Country","Sam hunt, Zach crowell, Josh osborne, Shane mcanally","Body Like a Back Road 
Got a girl from the south side, got braids in her hair
First time I seen her walk by, man I bout fell up out my chair
Had to get her number, it took me like six weeks
Now me and her go way back like Cadillac seats
Body like a back road, driving with my eyes closed
I know every curve like the back of my hand
Doing 15 in a 30, I ain't in no hurry
I'ma take it slow just as fast as I can
The way she fit in them blue jeans, she don't need no belt
But I can turn them inside out, I don't need no help
Got hips like honey, so thick and so sweet, man
It ain't no curves like hers on them downtown streets
Body like a back road, driving with my eyes closed
I know every curve like the back of my hand
Doing 15 in a 30, I ain't in no hurry
I'ma take it slow just as fast as I can
We're out here in the boondocks
With the breeze and the birds
Tangled up in the tall grass
With my lips on hers
On a highway to heaven
Headed south of her smile mmm
Get there when we get there
Every inch is a mile
Body like a back road, driving with my eyes closed
I know every curve like the back of my hand
Doing 15 in a 30, I ain't in no hurry
I'ma take it slow just as fast as I can
I'ma take it slow
Just as fast as I can
Body like a back road
Driving with my eyes closed
I know every curve like the back of my hand
Got braids in her hair
",
Kodak Black,Tunnel Vision,8,8.0,2.0,2017-03-18,"February 16, 2017","Producer,Trap,Rap","Tim gomringer, Kevin gomringer, Metro boomin, Southside, Kodak black","Tunnel Vision 
Glee
Southside
Ayy, lil' Metro on that beat
Lil' Kodak, they don't like to see you winnin'
They wanna see you in the penitentiary
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
My mama told me, Boy, make good decisions!""
Right now I gotta keep a tunnel vision
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
Lil' Kodak, they don't like to see you winnin'
They wanna see you in the penitentiary
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
My mama told me, Boy, make good decisions!""
Right now I gotta keep a tunnel vision
They sending all my homies on a mission
And I ain't tryna miss out on these millions
I jumped up out the Wraith, Kodak bought a Wraith
I get any girl I want, any girl I want
She want me to save the day, but I ain't got a cape
She wanna see me every day, she wanna be my bae
That money make me cum, it make me fornicate, uh
I'm the shit, I need some toilet pap-er
Follow my player rules, then we gon' be okay
On the real I need a bih' who gon' cooperate
Lil' Kodak, they don't like to see you winnin'
They wanna see you in the penitentiary
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
My mama told me, Boy, make good decisions!""
Right now I gotta keep a tunnel vision
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
Lil' Kodak, they don't like to see you winnin'
They wanna see you in the penitentiary
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
My mama told me, Boy, make good decisions!""
Right now I gotta keep a tunnel vision
They sending all my homies on a mission
And I ain't tryna miss out on these millions
I told you niggas I'm gon' be that fucking nigga
Everything be good til you doing better than em
They wanna see a nigga shot or see me in the system
All you niggas out here poison like snake venom
Codeine in my liver, rocking Balenciaga denim
I'm booted even when I'm sober, I don't need a jigga
They sending all my niggas on a fucking journey
I told that baby to come over cause I'm fucking horny
My mama told me, Kill these niggas, son, keep it goin'!""
I'm thug to the bone, but I'm still her baby boy
Lil' Kodak, boy they hate to see you in a foreign
They miss when you was in that Yota kicking door
Lil' Kodak, they don't like to see you winnin'
They wanna see you in the penitentiary
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
My mama told me, Boy, make good decisions!""
Right now I gotta keep a tunnel vision
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
Lil' Kodak, they don't like to see you winnin'
They wanna see you in the penitentiary
I need me a lil' baby who gon' listen
Girl, I don't wanna be the one you iggin'
My mama told me, Boy, make good decisions!""
Right now I gotta keep a tunnel vision
They sending all my homies on a mission
And I ain't tryna miss out on these millions
",
"The Chainsmokers, Coldplay",Something Just Like This,5,5.0,2.0,2017-03-18,"February 22, 2017","Adult Contemporary,Future Bass,Adult Alternative,Alternative Rock,Electronic Rock,UK,East Coast,Electro-Pop,Electronic,Dance,Pop","Will champion, Guy berryman, Jonny buckland, Andrew taggart, Chris martin","Something Just Like This 
I've been reading books of old
The legends and the myths
Achilles and his gold
Hercules and his gifts
Spiderman's control
And Batman with his fists
And clearly I don't see myself upon that list
But she said, where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can kiss
I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
I want something just like this
I've been reading books of old
The legends and the myths
The testaments they told
The moon and its eclipse
And Superman unrolls
A suit before he lifts
But I'm not the kind of person that it fits
She said, where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can miss
I want something just like this
I want something just like this
Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo
Doo-doo-doo, doo-doo-doo
Where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can kiss
I want something just like this
Oh, I want something just like this
Oh, I want something just like this
Oh, I want something just like this
",
Clean Bandit,Rockabye,9,9.0,14.0,2017-03-25,"October 21, 2016","Tropical House,Electronic,Pop","Sean paul, Steve mac, Ina wroldsen, Jack patterson, Ammar malik","Rockabye 
Call it love and devotion
Call it a mom's adoration, foundation
A special bond of creation, hah
For all the single moms out there
Going through frustration
Clean Bandit, Sean-da-Paul, Anne-Marie
Sing, make them hear
She works at nights, by the water
She's gone astray, so far away
From her father's daughter
She just wants a life for her baby
All on her own, no one will come
She's got to save him Daily struggle
She tells him, Oh, love, no one's ever gonna hurt you, love.""
""I'm gonna give you all of my love.""
""Nobody matters like you.""
Stay up there, stay up there!
She tells him, Your life ain't gon' be nothing like my life. Straight!
""You're gonna grow and have a good life.""
""I'm gonna do what I've got to do.""
Stay up there, stay up there!
So, rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
Somebody's got you
Rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
Ah, rockabye, no
Rockabye, rocka-rocka-rocka-bye
Rockabye, yeah, yeah
Rockabye, rocka-rocka-rocka-bye
Single mum, how're you doing out there?
Facing the hard life, without no fear Yeah!
Just so you know that you really care
'Cause any obstacle come, you're well prepared Oh, no!
And no, mama, you never shed tear
'Cause you have to shed things year after year Na, na, na, na
And you give the yout love beyond compare Yeah!
You find his school fee and the bus fare Yeah!
Mh, all when di pops disappear
Inna rum bar, can't find him nowhere
Steadily your workflow, heavily you know
So your non-stop, no time, no time for ya dear
Now she got a six-year-old
Trying to keep him warm
Trying to keep out the cold
When he looks in her eyes
He don't know he is safe
When she says, Oh, love, no one's ever gonna hurt you, love.""
""I'm gonna give you all of my love.""
""Nobody matters like you.""
So, rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
Somebody's got you
Rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
Badda-bang-bang-bang, alright then
Ah, rockabye, no
Rockabye, rocka-rocka-rocka-bye
Rockabye, yeah, yeah
Rockabye, rocka-rocka-rocka-bye
Rockabye, don't bother cry
Lift up your head, lift it up to the sky, yo
Rockabye, don't bother cry
Angels surround you, just dry your eye
Now she got a six-year-old
Trying to keep him warm
Trying to keep out the cold
When he looks in her eyes
He don't know he is safe when she says
She tells him, Oh, love, no one's ever gonna hurt you, love.""
""I'm gonna give you all of my love.""
""Nobody matters like you.""
Stay up there, stay up there!
She tells him, Your life ain't gon' be nothing like my life. Straight!
""You're gonna grow and have a good life.""
""I'm gonna do what I got to do."", yeah
So, rockabye, baby, rockabye
Rockabye, rocka-rocka-rocka-bye
I'm gonna rock you
Rockabye, baby, don't you cry
Rockabye, rocka-rocka-rocka-bye
Somebody's got you
Rockabye, baby, rockabye
Rockabye-rocka-rocka-rocka-bye
I'm gonna rock you
Rockabye, baby, don't you cry
Badda-bang-bang-bang, alright then
Ah, rockabye
Rockabye, don't bother cry
Lift up your head, lift it up to the sky Ah, Rockabye!
Rockabye, don't bother cry Yeah!
Angels surround you, just dry your eye Yeah, ah, rockabye!
Rockabye, don't bother cry No!
Lift up your head, lift it up to the sky Oh, Rockabye!
Rockabye, don't bother cry
Angels surround you, just dry your eye
","Sean Paul, Anne"
Lorde,Green Light,19,19.0,2.0,2017-03-25,"March 2, 2017","Power Pop,Adult Alternative,Indie Pop,Disco,Dance-Pop,Electro-Pop,New Zealand,Alternative Pop,Alternative,Alternative Rock,Pop","Joel little, Jack antonoff, Lorde","Green Light 
I do my makeup in somebody else's car
We order different drinks at the same bars
I know about what you did and I wanna scream the truth
She thinks you love the beach, you're such a damn liar
Well those great whites, they have big teeth
Hope they bite you
Thought you said that you would always be in love
But you're not in love no more
Did it frighten you
How we kissed when we danced on the light up floor?
On the light up floor
But I hear sounds in my mind
Brand new sounds in my mind
But honey I'll be seeing you wherever I go
But honey I'll be seeing you down every road
I'm waiting for it, that green light, I want it
'Cause honey I'll come get my things, but I can't let go
I'm waiting for it, that green light, I want it
Oh, I wish I could get my things and just let go
I'm waiting for it, that green light, I want it
Sometimes I wake up in a different bedroom
I whisper things, the city sings em back to you
Well those rumors, they have big teeth
Hope they bite you
Thought you said that you would always be in love
But you're not in love no more
Did it frighten you
How we kissed when we danced on the light up floor?
On the light up floor
But I hear sounds in my mind
Brand new sounds in my mind
But honey I'll be seeing you wherever I go
But honey I'll be seeing you down every road
I'm waiting for it, that green light, I want it
'Cause honey I'll come get my things, but I can't let go
I'm waiting for it, that green light, I want it
Oh, honey I'll come get my things, but I can't let go
I'm waiting for it, that green light, I want it
Yes, honey I'll come get my things, but I can't let go
I'm waiting for it, that green light, I want it
Oh, I wish I could get my things and just let go
I'm waiting for it, that green light, I want it
I'm waiting for it, that green light, I want it
I'm waiting for it, that green light, I want it
I'm waiting for it, that green light, I want it
I'm waiting for it, that green light, I want it
I'm waiting for it, that green light, I want it
I'm waiting for it, that green light, I want it
",
Maroon 5,Cold,20,20.0,4.0,2017-03-25,"February 14, 2017","Rap,Pop","Detail, Adam levine, Jacob kasher, John ryan, Justin tranter, Phil shaouy","Cold 
Cold enough to chill my bones
It feels like I don't know you anymore
I don't understand why you're so cold to me
With every breath you breathe
I see there's something going on
I don't understand why you're so cold
Are we taking time, or a time out?
I can't take the in-between
Asking me for space here in my house
You know how to fuck with me
Acting like we're not together
After everything that we've been through
Sleeping up under the covers
How am I so far away from you?
Distant, when we're kissing
Feel so different
Baby, tell me how did you get so
Cold enough to chill my bones
It feels like I don't know you anymore
I don't understand why you're so cold to me
With every breath you breathe
I see there's something going on
I don't understand why you're so cold, yeah
Whoa, yeah
Whoa, yeah
I don't understand why you're so cold
What you holding on, holding on for?
If you wanna leave, just leave
Why you wanna bite your tongue for?
The silence is killing me
Acting like we're not together
If you don't want this, then what's the use?
Sleeping up under the covers
How am I so far away from you?
Distant, when we're kissing
Feel so different
Baby tell me how did you get so
Cold enough to chill my bones
It feels like I don't know you anymore
I don't understand why you're so cold to me
With every breath you breathe
I see there's something going on
I don't understand why you're so cold, yeah
Whoa, yeah
Whoa, yeah
I don't understand why you're so cold, yeah
So cold, it's a cold world
Whoa, yeah
So cold, it's a cold world
Whoa, yeah
So cold, it's a cold world
I don't understand why you're so cold
Never thought that you were like this
I took the tag off, and made you priceless
I just spent half a mill' on a chandelier
Now you tryna' cut me off like a light switch, yeah
Tryna' stay, and I leave
Saying that you need some time to breathe
Thinking that I'm sleeping on the four-letter word
But the four-letter word don't sleep
We going two separate ways
You ain't been acting the same
You gotta go, but where your heart used to be
You gold-dig every day
I switched the four-door to the two-door
'Cause I can't let my driver hear what you say
Girl, I tried to give you space
Baby, tell me how did you get so cold
Cold enough to chill my bones
It feels like I don't know you anymore
I don't understand why you're so cold to me
With every breath you breathe
I see there's something going on
I don't understand why you're so cold
So cold, it's a cold world
Whoa, yeah
So cold, it's a cold world
Whoa, yeah
So cold, it's a cold world
I don't understand why you're so cold, yeah
So cold, it's a cold world
Whoa, yeah
So cold, it's a cold world
Whoa, yeah
So cold, it's a cold world
I don't understand why you're so cold
",Future
Future,Mask Off,19,19.0,4.0,2017-04-01,"February 17, 2017","Atlanta,Memes,Rap,Trap","Future, Tommy butler, Metro boomin","Mask Off 
Call it how it is Call it how it is
Hendrix
I promise, I swear, I swear
You heard, spit it, yo
Percocets Ya, molly, Percocets Percocets
Percocets Ya, molly, Percocets Percocets
Rep the set Yee, gotta rep the set Gang, gang
Chase a check Chase it, never chase a bitch don't chase no bitches
Mask on Off, fuck it, mask off Mask
Mask on Off, fuck it, mask off Mask
Percocets Cets, molly, Percocets Percocets
Chase a check Chase it, never chase a bitch Don't chase no bitches
Two cups Cup, toast up with the gang Gang, gang
From food stamps to a whole nother domain, ya
Out the bottom Ye, I'm the living proof Super
Ain't compromising Woah, half a million on the coupe Gang, gang
Drug houses where, looking like Peru Woah, woah, woah
Graduated, I was overdue I'm on due
Pink molly Molly, I can barely move Barely move
Ask about me Bout me, I'm gon' bust a move
Rick James James, thirty-three chains Thirty-three
Ocean air Air, cruising Biscayne
Top off Ya, that's a liability Big foreigns
Hit the gas Gas, boosting my adrenaline Big foreigns
Percocets Ye, molly, Percocets Big foreigns
Percocets Ye, molly, Percocets Big foreigns
Rep the set Ye, gotta rep the set Gang, gang
Chase a check Chase it Ye, never chase a bitch Don't chase no bitches Big foreigns
Mask on Off Ye, fuck it, mask off Mask Big foreigns
Mask on Off Ye, fuck it, mask off Mask Big foreigns
Percocets Ye, molly, Percocets Big foreigns
Chase a check Chase it Ye, ye, never chase a bitch Don't chase no bitches
Four-door Maybach Four-door, I drive anything Ye
Buy my Range Ye, make em go insane Ye
Oh my Lord, praise him be
My guillotine, drank promethazine Drank prometh'
TEC and beams Ya, go to those extremes What's good, what's good
Parliament Parliament, calamari Wednesday Ya
Parlay in Vegas, we was in attendance What's good, what's good
Before the business Yeah, Theodore lenses
Theo-Dur prescriptions Ya, focus on the missions Fo' my
Intermission Hol' up, never take a break We can pull up
Switch states, touch down, foreign plates Speech
Ain't no way, ain't no fucking way No
We call the play, we didn't come to play nN
Rob the bank, we gon' rob the game Gang
They gang, we gang Gang
But they are not the same Freebandz
Percocets Ye, molly, Percocets Big foreigns
Percocets Ye, molly, Percocets Big foreigns
Rep the set Ye, gotta rep the set Gang, gang
Chase a check Chase it Ye, never chase a bitch Don't chase no bitches Big foreigns
Mask on Off Ye, fuck it, mask off Mask Big foreigns
Mask on Off Ye, fuck it, mask off Mask Big foreigns
Percocets Ye, molly, Percocets Big foreigns
Chase a check Chase it Ye, ye, never chase a bitch Don't chase no bitches
Mask on, fuck it, mask off
Mask on, fuck it, mask off
Mask on, fuck it, mask off
Gas gone, never nod off
Cold chills, prison cells
Oh my Lord, praise him be
",
James Arthur,Say You Won't Let Go,19,19.0,23.0,2017-04-15,"September 9, 2016","UK,Pop","Neil ormandy, Steve solomon, James arthur","Say You Won't Let Go 
I met you in the dark
You lit me up
You made me feel as though
I was enough
We danced the night away
We drank too much
I held your hair back when
You were throwing up
Then you smiled over your shoulder
For a minute, I was stone cold sober
I pulled you closer to my chest
And you asked me to stay over
I said, I already told ya
I think that you should get some rest
I knew I loved you then
But you'd never know
'Cause I played it cool
When I was scared of letting go
I knew I needed you
But I never showed
But I wanna stay with you
Until we're grey and old
Just say you won't let go
Just say you won't let go
I'll wake you up with some breakfast in bed
I'll bring you coffee
With a kiss on your head
And I'll take the kids to school
Wave them goodbye
And I'll thank my lucky stars for that night
When you looked over your shoulder
For a minute, I forget that I'm older
I wanna dance with you right now, oh
And you look as beautiful as ever
And I swear that everyday you'll get better
You make me feel this way somehow
I'm so in love with you
And I hope you know
Darling your love is more
Than worth its weight in gold
We've come so far my dear
Look how we've grown
And I wanna stay with you
Until we're grey and old
Just say you won't let go
Just say you won't let go
I wanna live with you
Even when we're ghosts
'Cause you were always there for me
When I needed you most
I'm gonna love you till
My lungs give out
I promise til death we part
Like in our vows
So I wrote this song for you
Now everybody knows
That it's just you and me
Until we're grey and old
Just say you won't let go
Just say you won't let go
Just say you won't let go
Oh, just say you won't let go
",
Lil Uzi Vert,XO TOUR Llif3,16,16.0,2.0,2017-04-22,"February 26, 2017","Hip-Hop,Emo Rap,Memes,Alternative,Alternative R&;B,Trap,Rap","Tm88, Jw lucas, Lil uzi vert","XO TOUR Llif3 
Are you alright?
I'm alright, I'm quite alright
And my money's right
8… Yeah
Counting them bands
All way to the top til they be falling over
Yeah, yeah, yeah
Counting them bands
On my way to the top til we falling over
I don't really care if you cry
On the real, you shoulda never lied
Shoulda saw the way she looked me in my eyes
She said, Baby, I am not afraid to die""
Push me to the edge
All my friends are dead
Push me to the edge
All my friends are dead
Push me to the edge
All my friends are dead
Push me to the edge
Phantom that's all red, inside all white
Like something you ride a sled down, I just want that head
My Brittany got mad, I'm barely her man now
Everybody got the same swag now
Watch the way that I tear it down
Stacking my bands all the way to the top
All the way til my bands falling over
Every time that you leave your spot
Your girlfriend call me like, Come on over!""
I like the way that she treat me
Gon' leave you, won't leave me, I call it that Casanova
She say I'm insane, yeah
I might blow my brain out Hey
Xanny, help the pain, yeah
Please, Xanny, make it go away
I'm committed, not addicted, but it keep control of me
All the pain, now I can't feel it
I swear that it's slowing me, yeah
I don't really care if you cry
On the real, you shoulda never lied
Saw the way she looked me in my eyes
She said: I am not afraid to die.""
All my friends are dead
Push me to the edge Yeah
All my friends are dead, yeah, ooh
Push me to the edge
All my friends are dead, yeah
All my friends are dead, yeah
That is not your swag, I swear you fakin'
Now these niggas wanna take my cadence
Rain on em, thunderstorm, rain on em Ooh, yeah
Medicine, lil' nigga, take some Yeh, yeh
Fast car, NASCAR, race on em
In the club, ain't got no ones, then we would beg them
Clothes from overseas, got the racks and they all C-Notes
You is not a G though
Looking at you stacking all your money, it all green though
I was counting that and these all twenties, that's a G-roll
She say: You're the worst, you're the worst.""
I cannot die because this my universe
I don't really care if you cry
On the real, you shoulda never lied
Shoulda saw the way she looked me in my eyes
She said: Baby, I am not afraid to die.""
Push me to the edge
All my friends are dead
Push me to the edge
All my friends are dead
Push me to the edge
All my friends are dead
Push me to the edge
",
Julia Michaels,Issues,12,12.0,12.0,2017-04-29,"January 13, 2017",Pop,"Julia michaels, Justin tranter, Benny blanco, Stargate","Issues 
I'm jealous, I'm overzealous
When I'm down, I get real down
When I'm high, I don't come down
I get angry, baby, believe me
I could love you just like that
And I could leave you just as fast
But you don't judge me
'Cause if you did, baby, I would judge you too
No, you don't judge me
'Cause if you did, baby, I would judge you too
'Cause I got issues
But you got em too
So give em all to me
And I'll give mine to you
Bask in the glory
Of all our problems
'Cause we got the kind of love
It takes to solve em
Yeah, I got issues
And one of them is how bad I need you
You do shit on purpose
You get mad and you break things
Feel bad, try to fix things
But you're perfect
Poorly wired circuit
And got hands like an ocean
Push you out, pull you back in
'Cause you don't judge me
'Cause if you did, baby, I would judge you too
No, you don't judge me
'Cause you see it from the same point of view
'Cause I got issues
But you got em too
So give em all to me
And I'll give mine to you
Bask in the glory
Of all our problems
'Cause we got the kind of love
It takes to solve em
Yeah, I got issues
And one of them is how bad I need you
I got issues, you got em too
And one of them is how bad I need you
I got issues, you got em too
'Cause I got issues
I got
But you got em too
So give em all to me
You got em too
And I'll give mine to you
Bask in the glory
I got issues
Of all our problems
'Cause we got the kind of love
You got em too
It takes to solve em
Yeah, I got issues I got
And one of them is how bad I need you You got em too
Yeah, I got issues I got issues
And one of them is how bad I need you You got em too
Yeah, I got issues I got
And one of them is how bad I need you
",
